GetEconomicData {Retail Sales Excluding Food Services | Series}
GetEconomicData what is {CBOE Gold ETF Volatility Index | Series}
GetEconomicData what is {CBOE Crude Oil ETF Volatility Index | Series}
GetEconomicData what is {Working Age Population | Series}
GetEconomicData what is {Gross Domestic Product in Germany | Series}
GetEconomicData what is {Gross Domestic Product in Canada | Series}
GetEconomicData what is {Gross Domestic Product in Japan | Series}
GetEconomicData what is {Leading Index for the United States | Series}
GetEconomicData what is {Leading Index for California | Series}
GetEconomicData what is {Leading Index for Texas | Series}
GetEconomicData what is {US High Yield Option Adjusted Spread | Series}
GetEconomicData what is {US High Yield Effective Yield | Series}
GetEconomicData what is {US Corporate BBB Option Adjusted Spread | Series}
GetEconomicData what is {Crude Oil Prices | Series}
GetEconomicData what is {Weighted Average Effective Loan Rate | Series}
GetEconomicData what is {Total Value of Loans for All Commercial Loans | Series}
GetEconomicData what is {Average Loan Size for All Commercial and Industry Loans | Series}
GetEconomicData what is {Chicago Fed National Activity Index | Series}
GetEconomicData what is {Chicago Fed National Activity Index Three Month Moving Average | Series}
GetEconomicData what is {Chicago Fed National Activity Index Diffusion Index | Series}
GetEconomicData what is {Chicago Fed National Financial Conditions Index | Series}
GetEconomicData what is {Chicago Fed National Financial Conditions Index Nonfinancial Leveral Subindex | Series}
GetEconomicData what is {Chicago Fed National Financial Conditions Credit Subindex | Series}
GetEconomicData what is {Median Sales Price of Houses Sold | Series}
GetEconomicData what is {Average Sales Price of Houses Sold | Series}
GetEconomicData what is {New Houses Sold by Sales Price | Series}
GetEconomicData what is {New Privately Owned Housing Starts | Series}
GetEconomicData what is {Total Construction Spending | Series}
GetEconomicData what is {Total Construction Spending Nonresidential | Series}
GetEconomicData what is {Total Private Construction Spending Residential | Series}
GetEconomicData what is {Delinquency Rate on Single Family Residential Mortgages | Series}
GetEconomicData what is {Delinquency Rate on Credit Card Loans All Commercial Banks | Series}
GetEconomicData what is {Inflation consumer prices for the United States | Series}
GetEconomicData what is {Gross Domestic Product for China | Series}
GetEconomicData what is {GINI Index for the United States | Series}
GetEconomicData what is {Housing Affordability Index | Series}
GetEconomicData what is {Housing Affordability Index Fixed | Series}
GetEconomicData what is {Household Debt to GDP | Series}
GetEconomicData what is {Commercial Real Estate Prices | Series}
GetEconomicData what is {Total Debt to Equity | Series}
GetEconomicData what is {Interest Rates Discount Rate | Series}
GetEconomicData what is {General government gross debt for Japan | Series}
GetEconomicData what is {General government gross debt for China | Series}
GetEconomicData what is {General government gross debt for United States | Series}
GetEconomicData what is {NBER based Recession Indicators | Series}
GetEconomicData what is {OECD based Recession Indicators | Series}
GetEconomicData what is {Real Trade Weighted US Dollar Index | Series}
GetEconomicData what is {Real Median Household Income | Series}
GetEconomicData what is {Real Median Family Income | Series}
GetEconomicData what is {Median Household Income | Series}
GetEconomicData what is {One Month London Interbank Offered Rate | Series}
GetEconomicData what is {Three Month London Interbank Offered Rate | Series}
GetEconomicData what is {Twelve Month London Interbank Offered Rate | Series}
GetEconomicData what is {LIBOR | Series}
GetEconomicData what is {Vehicle Miles Traveled | Series}
GetEconomicData what is {Unemployment Rate for United States | Series}
GetEconomicData what is {Unemployment Rate | Series}
GetEconomicData what is {Dow Jones Industrial Stock Price Index for United States | Series}
GetEconomicData what is {Price Level of Consumption for United States | Series}
GetEconomicData what is {Purchasing Power Parity | Series}
GetEconomicData what is {Exchange Rate to US Dollar for Argentina | Series}
GetEconomicData what is {US Recession Probabilities | Series}
GetEconomicData what is {Gross Domestic Product for United Kingdom | Series}
GetEconomicData what is {Real Gross Domestic Product for Greece | Series}
GetEconomicData what is {Gross Domestic Product for United Kingdom | Series}
GetEconomicData what is {Gross Domestic Product for Japan | Series}
GetEconomicData what is {Central Bank Assets for Euro Area | Series}
GetEconomicData what is {LoDI National Index | Series}
GetEconomicData what is {Stock Market Capitalization to GDP for United States | Series}
GetEconomicData what is {Stock Market Capitalization to GDP for World | Series}
GetEconomicData what is {Gross Domestic Product for World | Series}
GetEconomicData what is {Equity Market related Economic Uncertainty Index | Series}
GetEconomicData what is {Economic Policy Uncertainty Index for United States | Series}
GetEconomicData what is {Excess Reserves of Depository Institutions | Series}
GetEconomicData what is {Russell Two Thousand Price Index | Series}
GetEconomicData what is {Russell Three Thousand Total Market Index | Series}
GetEconomicData what is {Russell Three Thousand Price Index | Series}
GetEconomicData what is {Capital Stock at Constant National Prices for United States | Series}
GetEconomicData what is {Total Factor Productivity at Constant National Prices for United States | Series}
GetEconomicData what is {Real GDP at Constant National Prices for China | Series}
GetEconomicData what is {Nikkei Stock Average | Series}
GetEconomicData what is {Total Revenue for Real Estate and Rental and Leasing Establishments Subject to Federal Income Tax | Series}
GetEconomicData what is {Revenues from Business for Engineering Services Establishments Subject to Federal Income Tax | Series}
GetEconomicData what is {Existing Home Sales | Series}
GetEconomicData what is {Median Sales Price of Existing Homes | Series}
GetEconomicData what is {Existing Home Sales Housing Inventory | Series}
GetEconomicData what is {Chicago Fed Midwest Manufacturing Index | Series}
GetEconomicData what is {Relative Price of Investment Goods | Series}
GetEconomicData what is {Real Investment | Series}
GetEconomicData what is {Investment Deflator | Series}
GetEconomicData what is {Homeownership Rate for the United States | Series}
GetEconomicData what is {Housing Inventory Estimate | Series}
GetEconomicData what is {Rental Vacancy Rate for the United States | Series}
GetEconomicData what is {TED Spread | Series}
GetEconomicData what is {Ten Year Breakeven Inflation Rate | Series}
GetEconomicData what is {Swiss Monetary Base Aggregate | Series}
GetEconomicData what is {Loan To Value Ratio Used Car Loans | Series}
GetEconomicData what is {Loan To Value Ratio New Car Loans | Series}
GetEconomicData what is the value of {Retail Sales Excluding Food Services | Series}
GetEconomicData what is the value of {Retail and Food Services Sales | Series}
GetEconomicData what is the value of {Retail Sales and Food Services Excluding Motor Vehicles and Parts Dealers | Series}
GetEconomicData what is the value of {Consumer Price Index | Series}
GetEconomicData what is the value of {Consumer Price Index Less Food and Energy | Series}
GetEconomicData what is the value of {Employment Cost Index | Series}
GetEconomicData what is the value of {Industrial Production Index | Series}
GetEconomicData what is the value of {Capacity Utilization | Series}
GetEconomicData what is the value of {Industrial Production Manufacturing | Series}
GetEconomicData what is the value of {Total Consumer Credit Outstanding | Series}
GetEconomicData what is the value of {Student Loans Outstanding | Series}
GetEconomicData what is the value of {Finance Rate on Consumer Installment Loans | Series}
GetEconomicData what is the value of {Japan US Foreign Exchange Rate | Series}
GetEconomicData what is the value of {Canada US Foreign Exchange Rate | Series}
GetEconomicData what is the value of {US Euro Foreign Exchange Rate | Series}
GetEconomicData what is the value of {Trade Weighted US Dollar Index | Series}
GetEconomicData what is the value of {US Euro Foreign Exchange Rate | Series}
GetEconomicData what is the value of {Japan US Foreign Exchange Rate | Series}
GetEconomicData what is the value of {Effective Federal Funds Rate | Series}
GetEconomicData what is the value of {Ten Year Treasury Constant Maturity Rate | Series}
GetEconomicData what is the value of {Three Month Treasury Bill Secondary Market Rate | Series}
GetEconomicData what is the value of {Monetary Base | Series}
GetEconomicData what is the value of {All Federal Reserve Banks Total Assets | Series}
GetEconomicData what is the value of {US Treasury securities held by the Federal Reserve | Series}
GetEconomicData what is the value of {Reserve Balances with Federal Reserve Banks | Series}
GetEconomicData what is the value of {M Two Money Stock | Series}
GetEconomicData what is the value of {M One Money Stock | Series}
GetEconomicData what is the value of {Commercial and Industrial Loans | Series}
GetEconomicData what is the value of {Loans and Leases in Bank Credit | Series}
GetEconomicData what is the value of {Total Assets All Commercial Banks | Series}
GetEconomicData what is the value of {Total Business Inventories to Sales Ratio | Series}
GetEconomicData what is the value of {Total Business Sales | Series}
GetEconomicData what is the value of {ISM Manufacturing PMI Composite Index | Series}
GetEconomicData what is the value of {ISM Manufacturing New Orders Index | Series}
GetEconomicData what is the value of {ISM Manufacturing Employment Index | Series}
GetEconomicData what is the value of {Housing Starts Total New Privately Owned Housing Units Started | Series}
GetEconomicData what is the value of {New Private Housing Units Authorized by Building Permits | Series}
GetEconomicData what is the value of {Housing Starts Total New Privately Owned | Series}
GetEconomicData what is the value of {Producer Price Index for All Commodities | Series}
GetEconomicData what is the value of {Manufacturing Sector Real Output | Series}
GetEconomicData what is the value of {Nonfarm Business Sector Real Output Per Hour of All Persons | Series}
GetEconomicData what is the value of {Nonfarm Business Sector Real Compensation Per Hour | Series}
GetEconomicData what is the value of {Balance on current account | Series}
GetEconomicData what is the value of {Civilian Unemployment Rate | Series}
GetEconomicData what is the value of {Total Nonfarm Payrolls | Series}
GetEconomicData what is the value of {Civilian Labor Force Participation Rate | Series}
GetEconomicData what is the value of {US Exports of Goods to Japan | Series}
GetEconomicData what is the value of {US Imports of Goods from Japan | Series}
GetEconomicData what is the value of {Trade Balance Goods and Services | Series}
GetEconomicData what is the value of {All Sectors Debt Securities and Loans | Series}
GetEconomicData what is the value of {Nonfinancial corporate business debt securities | Series}
GetEconomicData what is the value of {Federal government consumer credit student loans | Series}
GetEconomicData what is the value of {Real Gross Domestic Product | Series}
GetEconomicData what is the value of {Gross Domestic Product | Series}
GetEconomicData what is the value of {Personal Saving Rate | Series}
GetEconomicData what is the value of {Personal Consumption Expenditures | Series}
GetEconomicData what is the value of {Net Interest Margin for all US Banks | Series}
GetEconomicData what is the value of {Commercial Banks in the US | Series}
GetEconomicData what is the value of {Return on Average Assets for all US Banks | Series}
GetEconomicData what is the value of {Total Population All Ages including Armed Forces Overseas | Series}
GetEconomicData what is the value of {National Population | Series}
GetEconomicData what is the value of {MZM Money Stock | Series}
GetEconomicData what is the value of {MZM Own Rate | Series}
GetEconomicData what is the value of {MZM Money Stock | Series}
GetEconomicData what is the value of {Monetary Services Index M Two | Series}
GetEconomicData what is the value of {Monetary Services Index M One | Series}
GetEconomicData what is the value of {M Two Plus Institutional Type Money Market Mutual Funds | Series}
GetEconomicData what is the value of {M Two Less Small Time Deposits | Series}
GetEconomicData what is the value of {M Two Minus Own Rate | Series}
GetEconomicData what is the value of {M Two Less Small Time Deposits | Series}
GetEconomicData what is the value of {St Louis Adjusted Monetary Base | Series}
GetEconomicData what is the value of {St Louis Adjusted Reserves | Series}
GetEconomicData what is the value of {M One Money Multiplier | Series}
GetEconomicData what is the value of {Reserve Adjustment Magnitude | Series}
GetEconomicData what is the value of {RAM | Series}
GetEconomicData what is the value of {Total Public Debt | Series}
GetEconomicData what is the value of {Federal Debt Held by Federal Reserve Banks | Series}
GetEconomicData what is the value of {Federal Debt Held by the Public | Series}
GetEconomicData what is the value of {Federal Surplus | Series}
GetEconomicData what is the value of {Federal Deficit | Series}
GetEconomicData what is the value of {Gross Domestic Product | Series}
GetEconomicData what is the value of {Federal Outlays Interest | Series}
GetEconomicData what is the value of {Gross Federal Debt | Series}
GetEconomicData what is the value of {Gross Federal Debt Held by the Public | Series}
GetEconomicData what is the value of {Commercial Paper Outstanding | Series}
GetEconomicData what is the value of {Asset backed Commercial Paper Outstanding | Series}
GetEconomicData what is the value of {Ninety Day AA Nonfinancial Commercial Paper Interest Rate | Series}
GetEconomicData what is the value of {Household Debt Service Payments as a Percent of Disposable Personal Income | Series}
GetEconomicData what is the value of {Consumer Debt Service Payments as a Percent of Disposable Personal Income | Series}
GetEconomicData what is the value of {Consumer Sentiment | Series}
GetEconomicData what is the value of {Inflation Expectation | Series}
GetEconomicData what is the value of {Real Retail and Food Services Sales | Series}
GetEconomicData what is the value of {Light Weight Vehicle Sales | Series}
GetEconomicData what is the value of {Total Vehicle Sales | Series}
GetEconomicData what is the value of {Auto Inventory Sales Ratio | Series}
GetEconomicData what is the value of {Manufacturers New Orders Durable Goods | Series}
GetEconomicData what is the value of {ManufacturerS New Orders Nondefense Capital | Series}
GetEconomicData what is the value of {Value of Manufacturers' New Orders for All Manufacturing Industries | Series}
GetEconomicData what is the value of {Median Sales Price for New Houses Sold in the United States | Series}
GetEconomicData what is the value of {Monthly Supply of Houses in the United States | Series}
GetEconomicData what is the value of {New One Family Houses Sold United States | Series}
GetEconomicData what is the value of {Real Potential Gross Domestic Product | Series}
GetEconomicData what is the value of {Natural Rate of Unemployment | Series}
GetEconomicData what is the value of {Nominal Potential Gross Domestic Product | Series}
GetEconomicData what is the value of {Eighth District Flexible Rate on Seasonal Credit | Series}
GetEconomicData what is the value of {Federal Funds Target Range Upper Limit | Series}
GetEconomicData what is the value of {Federal Funds Target Range Lower Limit | Series}
GetEconomicData what is the value of {Primary Credit Rate for the Eighth District | Series}
GetEconomicData what is the value of {St Louis Source Base | Series}
GetEconomicData what is the value of {M Two Own Rate | Series}
GetEconomicData what is the value of {Manufacturing Sector Multifactor Productivity | Series}
GetEconomicData what is the value of {Private Non Farm Business Sector Multifactor Productivity | Series}
GetEconomicData what is the value of {Private Business Sector Multifactor Productivity | Series}
GetEconomicData what is the value of {Coincident Economic Activity Index for the United States | Series}
GetEconomicData what is the value of {Coincident Economic Activity Index for California | Series}
GetEconomicData what is the value of {Coincident Economic Activity Index for Wisconsin | Series}
GetEconomicData what is the value of {Per Capita Personal Income in Tennessee | Series}
GetEconomicData what is the value of {Per Capita Personal Income in Mississippi | Series}
GetEconomicData what is the value of {Per Capita Personal Income in Kentucky | Series}
GetEconomicData what is the value of {Resident Population in Louisville Jefferson County | Series}
GetEconomicData what is the value of {Resident Population in St Louis | Series}
GetEconomicData what is the value of {Resident Population in Texarkana | Series}
GetEconomicData what is the value of {Unemployment Rate in California | Series}
GetEconomicData what is the value of {Unemployment Rate in Florida | Series}
GetEconomicData what is the value of {Unemployment Rate in Texas | Series}
GetEconomicData what is the value of {Unemployment Rate in Seattle Tacoma Bellevue | Series}
GetEconomicData what is the value of {Unemployment Rate in Houston The Woodlands Sugar Land | Series}
GetEconomicData what is the value of {Unemployment Rate in Chicago Naperville Elgin | Series}
GetEconomicData what is the value of {Unemployment Rate in Los Angeles County | Series}
GetEconomicData what is the value of {Unemployment Rate in San Francisco County | Series}
GetEconomicData what is the value of {Unemployment Rate in Miami Dade County | Series}
GetEconomicData what is the value of {Resident Population in the Southwest | Series}
GetEconomicData what is the value of {Resident Population in the Rocky Mountain | Series}
GetEconomicData what is the value of {Resident Population in the New England Census Division | Series}
GetEconomicData what is the value of {Resident Population in Los Angeles County | Series}
GetEconomicData what is the value of {Resident Population in San Francisco County | Series}
GetEconomicData what is the value of {Resident Population in Wayne County | Series}
GetEconomicData what is the value of {Currency in Circulation | Series}
GetEconomicData what is the value of {Reserve Bank Credit | Series}
GetEconomicData what is the value of {Treasury Deposits with Federal Reserve Banks | Series}
GetEconomicData what is the value of {Per Capita Personal Income in New York Northern New Jersey Long Island | Series}
GetEconomicData what is the value of {Per Capita Personal Income in Chicago Joliet Naperville | Series}
GetEconomicData what is the value of {Per Capita Personal Income in Denver Aurora Broomfield | Series}
GetEconomicData what is the value of {US Total Gross Domestic Product by State | Series}
GetEconomicData what is the value of {Real Total Gross Domestic Product for California | Series}
GetEconomicData what is the value of {Total Gross Domestic Product for Florida | Series}
GetEconomicData what is the value of {State Government Tax Collections Property Taxes in the United States | Series}
GetEconomicData what is the value of {State Government Tax Collections Total Taxes in the United States | Series}
GetEconomicData what is the value of {State Government Tax Collections Individual Income Taxes in the United States | Series}
GetEconomicData what is the value of {Homeownership Rate for the United States | Series}
GetEconomicData what is the value of {Homeownership Rate for California | Series}
GetEconomicData what is the value of {Rental Vacancy Rate for the United States | Series}
GetEconomicData what is the value of {NMI Composite Index | Series}
GetEconomicData what is the value of {Business Activity Index | Series}
GetEconomicData what is the value of {Employment Index | Series}
GetEconomicData what is the value of {Per Capita Personal Income in California | Series}
GetEconomicData what is the value of {Per Capita Personal Income in Texas | Series}
GetEconomicData what is the value of {Per Capita Personal Income in New York | Series}
GetEconomicData what is the value of {All Transactions House Price Index for the United States | Series}
GetEconomicData what is the value of {Purchase Only House Price Index for the United States | Series}
GetEconomicData what is the value of {All Transactions House Price Index for California | Series}
GetEconomicData what is the value of {Per Capita Personal Income in San Francisco Count | Series}
GetEconomicData what is the value of {Per Capita Personal Income in Wayne County | Series}
GetEconomicData what is the value of {E Commerce Retail Sales as a Percent of Total Sales | Series}
GetEconomicData what is the value of {E Commerce Retail Sales | Series}
GetEconomicData what is the value of {Four Week Moving Average of Initial Claims | Series}
GetEconomicData what is the value of {Initial Claims | Series}
GetEconomicData what is the value of {Continued Claims Insured Unemployment | Series}
GetEconomicData what is the value of {US Regular All Formulations Gas Price | Series}
GetEconomicData what is the value of {US Regular Conventional Gas Price | Series}
GetEconomicData what is the value of {Interest Rate on Excess Reserves | Series}
GetEconomicData what is the value of {Interest Rate on Required Reserves | Series}
GetEconomicData what is the value of {US Euro Foreign Exchange Rate | Series}
GetEconomicData what is the value of {Japan US Foreign Exchange Rate | Series}
GetEconomicData what is the value of {China US Foreign Exchange Rate | Series}
GetEconomicData what is the value of {St Louis Fed Financial Stress Index | Series}
GetEconomicData what is the value of {Import All commodities | Series}
GetEconomicData what is the value of {Export All commodities | Series}
GetEconomicData what is the value of {S and P Five Hundred | Series}
GetEconomicData what is the value of {Thrity Year Fixed Rate Mortgage | Series}
GetEconomicData what is the value of {Fifteen Year Fixed Rate Mortgage | Series}
GetEconomicData what is the value of {Five One Year Adjustable Rate Mortgage  | Series}
GetEconomicData what is the value of {Job Openings Total Nonfarm | Series}
GetEconomicData what is the value of {Quits Total Nonfarm | Series}
GetEconomicData what is the value of {Hires Total Nonfarm | Series}
GetEconomicData what is the value of {Velocity of M Two Money Stock | Series}
GetEconomicData what is the value of {Velocity of M One Money Stock | Series}
GetEconomicData what is the value of {Velocity of MZM Money Stock | Series}
GetEconomicData what is the value of {Total Nonfarm Private Payroll Employment | Series}
GetEconomicData what is the value of {Nonfarm Private Manufacturing Payroll Employment | Series}
GetEconomicData what is the value of {Nonfarm Private Small Payroll Employment | Series}
GetEconomicData what is the value of {Wilshire Five Thousand Total Market Full Cap Index | Series}
GetEconomicData what is the value of {Wilshire Five Thousand Full Cap Price Index | Series}
GetEconomicData what is the value of {Wilshire Five Thousand Total Market Index | Series}
GetEconomicData what is the value of {Dow Jones Industrial Average | Series}
GetEconomicData what is the value of {Dow Jones Composite Average | Series}
GetEconomicData what is the value of {Dow Jones Transportation Average | Series}
GetEconomicData what is the value of {Kansas City Financial Stress Index | Series}
GetEconomicData what is the value of {S and P Case Shiller Twenty City Composite Home Price Index | Series}
GetEconomicData what is the value of {S and P Case Shiller US National Home Price Index | Series}
GetEconomicData what is the value of {S and P Case Shiller San Francisco Home Price Index | Series}
GetEconomicData what is the value of {CBOE Volatility Index | Series}
GetEconomicData what is the value of {CBOE Gold ETF Volatility Index | Series}
GetEconomicData what is the value of {CBOE Crude Oil ETF Volatility Index | Series}
GetEconomicData what is the value of {Working Age Population | Series}
GetEconomicData what is the value of {Gross Domestic Product in Germany | Series}
GetEconomicData what is the value of {Gross Domestic Product in Canada | Series}
GetEconomicData what is the value of {Gross Domestic Product in Japan | Series}
GetEconomicData what is the value of {Leading Index for the United States | Series}
GetEconomicData what is the value of {Leading Index for California | Series}
GetEconomicData what is the value of {Leading Index for Texas | Series}
GetEconomicData what is the value of {US High Yield Option Adjusted Spread | Series}
GetEconomicData what is the value of {US High Yield Effective Yield | Series}
GetEconomicData what is the value of {US Corporate BBB Option Adjusted Spread | Series}
GetEconomicData what is the value of {Crude Oil Prices | Series}
GetEconomicData what is the value of {Weighted Average Effective Loan Rate | Series}
GetEconomicData what is the value of {Total Value of Loans for All Commercial Loans | Series}
GetEconomicData what is the value of {Average Loan Size for All Commercial and Industry Loans | Series}
GetEconomicData what is the value of {Chicago Fed National Activity Index | Series}
GetEconomicData what is the value of {Chicago Fed National Activity Index Three Month Moving Average | Series}
GetEconomicData what is the value of {Chicago Fed National Activity Index Diffusion Index | Series}
GetEconomicData what is the value of {Chicago Fed National Financial Conditions Index | Series}
GetEconomicData what is the value of {Chicago Fed National Financial Conditions Index Nonfinancial Leveral Subindex | Series}
GetEconomicData what is the value of {Chicago Fed National Financial Conditions Credit Subindex | Series}
GetEconomicData what is the value of {Median Sales Price of Houses Sold | Series}
GetEconomicData what is the value of {Average Sales Price of Houses Sold | Series}
GetEconomicData what is the value of {New Houses Sold by Sales Price | Series}
GetEconomicData what is the value of {New Privately Owned Housing Starts | Series}
GetEconomicData what is the value of {Total Construction Spending | Series}
GetEconomicData what is the value of {Total Construction Spending Nonresidential | Series}
GetEconomicData what is the value of {Total Private Construction Spending Residential | Series}
GetEconomicData what is the value of {Delinquency Rate on Single Family Residential Mortgages | Series}
GetEconomicData what is the value of {Delinquency Rate on Credit Card Loans All Commercial Banks | Series}
GetEconomicData what is the value of {Inflation consumer prices for the United States | Series}
GetEconomicData what is the value of {Gross Domestic Product for China | Series}
GetEconomicData what is the value of {GINI Index for the United States | Series}
GetEconomicData what is the value of {Housing Affordability Index | Series}
GetEconomicData what is the value of {Housing Affordability Index Fixed | Series}
GetEconomicData what is the value of {Household Debt to GDP | Series}
GetEconomicData what is the value of {Commercial Real Estate Prices | Series}
GetEconomicData what is the value of {Total Debt to Equity | Series}
GetEconomicData what is the value of {Interest Rates Discount Rate | Series}
GetEconomicData what is the value of {General government gross debt for Japan | Series}
GetEconomicData what is the value of {General government gross debt for China | Series}
GetEconomicData what is the value of {General government gross debt for United States | Series}
GetEconomicData what is the value of {NBER based Recession Indicators | Series}
GetEconomicData what is the value of {OECD based Recession Indicators | Series}
GetEconomicData what is the value of {Real Trade Weighted US Dollar Index | Series}
GetEconomicData what is the value of {Real Median Household Income | Series}
GetEconomicData what is the value of {Real Median Family Income | Series}
GetEconomicData what is the value of {Median Household Income | Series}
GetEconomicData what is the value of {One Month London Interbank Offered Rate | Series}
GetEconomicData what is the value of {Three Month London Interbank Offered Rate | Series}
GetEconomicData what is the value of {Twelve Month London Interbank Offered Rate | Series}
GetEconomicData what is the value of {LIBOR | Series}
GetEconomicData what is the value of {Vehicle Miles Traveled | Series}
GetEconomicData what is the value of {Unemployment Rate for United States | Series}
GetEconomicData what is the value of {Unemployment Rate | Series}
GetEconomicData what is the value of {Dow Jones Industrial Stock Price Index for United States | Series}
GetEconomicData what is the value of {Price Level of Consumption for United States | Series}
GetEconomicData what is the value of {Purchasing Power Parity | Series}
GetEconomicData what is the value of {Exchange Rate to US Dollar for Argentina | Series}
GetEconomicData what is the value of {US Recession Probabilities | Series}
GetEconomicData what is the value of {Gross Domestic Product for United Kingdom | Series}
GetEconomicData what is the value of {Real Gross Domestic Product for Greece | Series}
GetEconomicData what is the value of {Gross Domestic Product for United Kingdom | Series}
GetEconomicData what is the value of {Gross Domestic Product for Japan | Series}
GetEconomicData what is the value of {Central Bank Assets for Euro Area | Series}
GetEconomicData what is the value of {LoDI National Index | Series}
GetEconomicData what is the value of {Stock Market Capitalization to GDP for United States | Series}
GetEconomicData what is the value of {Stock Market Capitalization to GDP for World | Series}
GetEconomicData what is the value of {Gross Domestic Product for World | Series}
GetEconomicData what is the value of {Equity Market related Economic Uncertainty Index | Series}
GetEconomicData what is the value of {Economic Policy Uncertainty Index for United States | Series}
GetEconomicData what is the value of {Excess Reserves of Depository Institutions | Series}
GetEconomicData what is the value of {Russell Two Thousand Price Index | Series}
GetEconomicData what is the value of {Russell Three Thousand Total Market Index | Series}
GetEconomicData what is the value of {Russell Three Thousand Price Index | Series}
GetEconomicData what is the value of {Capital Stock at Constant National Prices for United States | Series}
GetEconomicData what is the value of {Total Factor Productivity at Constant National Prices for United States | Series}
GetEconomicData what is the value of {Real GDP at Constant National Prices for China | Series}
GetEconomicData what is the value of {Nikkei Stock Average | Series}
GetEconomicData what is the value of {Total Revenue for Real Estate and Rental and Leasing Establishments Subject to Federal Income Tax | Series}
GetEconomicData what is the value of {Revenues from Business for Engineering Services Establishments Subject to Federal Income Tax | Series}
GetEconomicData what is the value of {Existing Home Sales | Series}
GetEconomicData what is the value of {Median Sales Price of Existing Homes | Series}
GetEconomicData what is the value of {Existing Home Sales Housing Inventory | Series}
GetEconomicData what is the value of {Chicago Fed Midwest Manufacturing Index | Series}
GetEconomicData what is the value of {Relative Price of Investment Goods | Series}
GetEconomicData what is the value of {Real Investment | Series}
GetEconomicData what is the value of {Investment Deflator | Series}
GetEconomicData what is the value of {Homeownership Rate for the United States | Series}
GetEconomicData what is the value of {Housing Inventory Estimate | Series}
GetEconomicData what is the value of {Rental Vacancy Rate for the United States | Series}
GetEconomicData what is the value of {TED Spread | Series}
GetEconomicData what is the value of {Ten Year Breakeven Inflation Rate | Series}
GetEconomicData what is the value of {Swiss Monetary Base Aggregate | Series}
GetEconomicData what is the value of {Loan To Value Ratio Used Car Loans | Series}
GetEconomicData what is the value of {Loan To Value Ratio New Car Loans | Series}
GetEconomicData tell me about {Retail Sales Excluding Food Services | Series}
GetEconomicData tell me about {Retail and Food Services Sales | Series}
GetEconomicData tell me about {Retail Sales and Food Services Excluding Motor Vehicles and Parts Dealers | Series}
GetEconomicData tell me about {Consumer Price Index | Series}
GetEconomicData tell me about {Consumer Price Index Less Food and Energy | Series}
GetEconomicData tell me about {Employment Cost Index | Series}
GetEconomicData tell me about {Industrial Production Index | Series}
GetEconomicData tell me about {Capacity Utilization | Series}
GetEconomicData tell me about {Industrial Production Manufacturing | Series}
GetEconomicData tell me about {Total Consumer Credit Outstanding | Series}
GetEconomicData tell me about {Student Loans Outstanding | Series}
GetEconomicData tell me about {Finance Rate on Consumer Installment Loans | Series}
GetEconomicData tell me about {Japan US Foreign Exchange Rate | Series}
GetEconomicData tell me about {Canada US Foreign Exchange Rate | Series}
GetEconomicData tell me about {US Euro Foreign Exchange Rate | Series}
GetEconomicData tell me about {Trade Weighted US Dollar Index | Series}
GetEconomicData tell me about {US Euro Foreign Exchange Rate | Series}
GetEconomicData tell me about {Japan US Foreign Exchange Rate | Series}
GetEconomicData tell me about {Effective Federal Funds Rate | Series}
GetEconomicData tell me about {Ten Year Treasury Constant Maturity Rate | Series}
GetEconomicData tell me about {Three Month Treasury Bill Secondary Market Rate | Series}
GetEconomicData tell me about {Monetary Base | Series}
GetEconomicData tell me about {All Federal Reserve Banks Total Assets | Series}
GetEconomicData tell me about {US Treasury securities held by the Federal Reserve | Series}
GetEconomicData tell me about {Reserve Balances with Federal Reserve Banks | Series}
GetEconomicData tell me about {M Two Money Stock | Series}
GetEconomicData tell me about {M One Money Stock | Series}
GetEconomicData tell me about {Commercial and Industrial Loans | Series}
GetEconomicData tell me about {Loans and Leases in Bank Credit | Series}
GetEconomicData tell me about {Total Assets All Commercial Banks | Series}
GetEconomicData tell me about {Total Business Inventories to Sales Ratio | Series}
GetEconomicData tell me about {Total Business Sales | Series}
GetEconomicData tell me about {ISM Manufacturing PMI Composite Index | Series}
GetEconomicData tell me about {ISM Manufacturing New Orders Index | Series}
GetEconomicData tell me about {ISM Manufacturing Employment Index | Series}
GetEconomicData tell me about {Housing Starts Total New Privately Owned Housing Units Started | Series}
GetEconomicData tell me about {New Private Housing Units Authorized by Building Permits | Series}
GetEconomicData tell me about {Housing Starts Total New Privately Owned | Series}
GetEconomicData tell me about {Producer Price Index for All Commodities | Series}
GetEconomicData tell me about {Manufacturing Sector Real Output | Series}
GetEconomicData tell me about {Nonfarm Business Sector Real Output Per Hour of All Persons | Series}
GetEconomicData tell me about {Nonfarm Business Sector Real Compensation Per Hour | Series}
GetEconomicData tell me about {Balance on current account | Series}
GetEconomicData tell me about {Civilian Unemployment Rate | Series}
GetEconomicData tell me about {Total Nonfarm Payrolls | Series}
GetEconomicData tell me about {Civilian Labor Force Participation Rate | Series}
GetEconomicData tell me about {US Exports of Goods to Japan | Series}
GetEconomicData tell me about {US Imports of Goods from Japan | Series}
GetEconomicData tell me about {Trade Balance Goods and Services | Series}
GetEconomicData tell me about {All Sectors Debt Securities and Loans | Series}
GetEconomicData tell me about {Nonfinancial corporate business debt securities | Series}
